Dates, ACWI INDEX , SPX INDEX , NDX INDEX , MXEF INDEX , DAX INDEX , SXXE INDEX , UKX INDEX , TPX INDEX , ILS Curncy , EUR  Curncy , GBP Curncy , JPY Curncy ,,,,,,,
30/11/2020, -1.22 , -0.46 , 0.08 , -2.08 , -0.33 , -0.96 , -1.59 , -1.77 , -0.21 , -0.30 , 0.09 , 0.21 ,,,,,,,
27/11/2020, 0.61 , 0.24 , 0.87 , 0.09 , 0.37 , 0.68 , 0.07 , 0.47 , -0.21 , 0.42 , -0.35 , -0.16 ,,,,,,,
26/11/2020, -0.10 , -0.16 , 0.60 , 0.93 , -0.02 , -0.04 , -0.44 , 0.60 , 0.15 , -0.03 , -0.16 , -0.19 ,,,,,,,
25/11/2020, -0.10 , -0.16 , 0.60 , -0.63 , -0.02 , 0.14 , -0.64 , 0.30 , -0.47 , 0.21 , 0.17 , 0.02 ,,,,,,,
24/11/2020, 1.49 , 1.62 , 1.46 , 0.45 , 1.26 , 1.18 , 1.55 , 2.03 , -0.40 , 0.43 , 0.27 , -0.08 ,,,,,,,
23/11/2020, 0.37 , 0.56 , -   , 0.93 , -0.08 , -0.14 , -0.28 , 0.06 , 0.23 , -0.13 , 0.35 , 0.64 ,,,,,,,
20/11/2020, -0.24 , -0.68 , -0.66 , 0.73 , 0.39 , 0.51 , 0.27 , 0.06 , -0.27 , -0.15 , 0.11 , 0.12 ,,,,,,,
19/11/2020, 0.51 , 0.39 , 0.76 , -0.59 , -0.88 , -0.71 , -0.80 , 0.33 , -0.06 , 0.19 , -0.09 , -0.08 ,,,,,,,
18/11/2020, -0.84 , -1.16 , -0.69 , 0.51 , 0.52 , 0.45 , 0.31 , -0.81 , -0.12 , -0.08 , 0.20 , -0.36 ,,,,,,,
17/11/2020, -0.24 , -0.48 , -0.30 , -0.13 , -0.04 , -0.04 , -0.87 , 0.16 , -0.29 , 0.08 , 0.36 , -0.37 ,,,,,,,
